Europa-Albanija,343
Južna Amerika-Argentina,338
Oceanija-Australija,2404
Europa-srednja Europa-EU-Austrija,137599
Europa-zapadna Europa-EU-Belgija,11172
Europa-istočna Europa-Bjelorusija,643
Europa-BiH,5314
Južna Amerika-Brazil,693
Europa-EU-Bugarska,606
Europa-EU-Cipar,75
Europa-Crna Gora,212
Europa-srednja Europa-EU-Češka,38497
Južna Amerika-Čile,131
Europa-sjeverna Europa-EU-Danska,2234
Europa-sjeverna Europa-EU-Estonija,875
Europa-sjeverna Europa-EU-Finska,1014
Europa-zapadna Europa-EU-Francuska,21872
Europa-južna Europa-EU-Grčka,208
Azija-Hong Kong,62
Azija-Indija,291
Azija-Indonezija,43
Europa-zapadna Europa-EU-Irska,2379
Europa-sjeverna Europa-Island,293
Europa-južna Europa-EU-Italija,174267
Južna Amerika-Izrael,2073
Azija-Japan,431
Azija-Jordan,19
Afrika-JAR,192
Sjeverna Amerika-Kanada,1893
Azija-Katar,18
Azija-Kazahstan,225
Azija-Kina,1686
Azija-Koreja,1017
Europa-Kosovo,270
Azija-Kuvajt,26
Europa-sjeverna Europa-EU-Latvija,590
Europa-srednja Europa-Lihtenštajn,81
Europa-sjeverna Europa-EU-Litva,1134
Europa-zapadna Europa-EU-Luksemburg,779
Europa-srednja Europa-EU-Mađarska,38323
Azija-Makao,5
Europa-Makedonija,1009
Europa-južna Europa-EU-Malta,65
Afrika-Maroko,173
Sjeverna Amerika-Meksiko,161
Europa-zapadna Europa-EU-Nizozemska,54072
Europa-sjeverna Europa-EU-Norveška,2272
Oceanija-Novi Zeland,453
Europa-srednja Europa-EU-Njemačka,291412
Azija-Oman,9
Europa-srednja Europa-EU-Poljska,31065
Europa-južna Europa-EU-Portugal,747
Europa-srednja Europa-EU-Rumunjska,7406
Azija-Rusija,10781
Sjeverna Amerika-SAD,6237
Europa-srednja Europa-EU-Slovačka,19080
Europa-srednja Europa-EU-Slovenija,92964
Europa-srednja Europa-Srbija,7904
Europa-južna Europa-EU-Španjolska,7228
Europa-sjeverna Europa-EU-Švedska,4275
Europa-srednja Europa-Švicarska,8917
Azija-Tajland,138
Azija-Tajvan,270
Afrika-Tunis,33
Europa-Turska,605 
Europa-zapadna Europa-Ujedinjeno Kraljevstvo,32771
Azija-Ujedinjeni Ar. Emirati,80
Europa-istočna Europa-Ukrajina,6892
Europa-srednja Europa-EU-Hrvatska,25815