zemlja,vrijednost
Albanija,1294
Argentina,2127
Australija,12497
Austrija,654667
Belgija,48397
Bjelorusija,3058
BiH,31683
Brazil,3870
Bugarska,4690
Cipar,317
Crna Gora,1773
Češka,152319
Čile,1023
Danska,43203
Estonija,4286
Finska,11361
Francuska,64478
Grčka,1468
Hong Kong,788
Indija,2274
Indonezija,338
Irska,11006
Island,1397
Italija,462910
Izrael,5549
Japan,2029
Jordan,114
JAR,2137
Kanada,12136
Katar,76
Kazahstan,741
Kina,10794
Koreja,9350
Kosovo,1478
Kuvajt,164
Letonija,3450
Lihtenštajn,548
Litva,5785
Luksemburg,2012
Mađarska,129062
Makao,51
Makedonija,5753
Malta,294
Maroko,469
Meksiko,1211
Nizozemska,171155
Norveška,22000
Novi Zeland,2964
Njemačka,1059918
Oman,62
Poljska,130279
Portugal,3846
Rumunjska,23590
Rusija,46928
SAD,46103
Slovačka,68601
Slovenija,605934
Srbija,42630
Španjolska,20118
Švedska,41048
Švicarska,67305
Tajland,1063
Tajvan,6647
Tunis,160
Turska,2806
Ujedinjeno Kraljevstvo,146201
Ujedinjeni Ar. Emirati,236
Ukrajina,29725
Hrvatska,313217